Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint,Complaint Detail,Incident Zip,Status,Community Board,Borough,Latitude,Longitude,Complaint Year,Complaint Month,Month Name,Main Complaint Category,Neighborhood
67347014,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11222,Closed,01 BROOKLYN,BROOKLYN,40.71969421145789,-73.94679271810833,,,,Noise,Greenpoint
67346692,,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11214,Closed,11 BROOKLYN,BROOKLYN,40.598686430723006,-74.00079221553598,,,,Parking & Traffic,Bath Beach
67347045,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10455,Closed,02 BRONX,BRONX,40.81742696066114,-73.89877249737724,,,,Noise,Longwood
67353045,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11221,Closed,04 BROOKLYN,BROOKLYN,40.69328009628028,-73.92486713628992,,,,Noise,Bushwick (East)
67350612,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10002,Closed,03 MANHATTAN,MANHATTAN,40.72090022730027,-73.99242768330566,,,,Noise,Lower East Side
67348180,,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,11691,Closed,14 QUEENS,QUEENS,40.60335801790573,-73.75386629508971,,,,Noise,Far Rockaway-Bayswater
67353590,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11421,Closed,09 QUEENS,QUEENS,40.69381597828006,-73.86302517659573,,,,Noise,Woodhaven
67346429,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11358,Closed,11 QUEENS,QUEENS,40.7587125861011,-73.79133786718944,,,,Noise,Murray Hill-Broadway Flushing
67352667,,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,10040,Closed,12 MANHATTAN,MANHATTAN,40.85564773909238,-73.92909027630085,,,,Parking & Traffic,Washington Heights (North)
67351816,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11235,Closed,15 BROOKLYN,BROOKLYN,40.591541524842,-73.95597913081173,,,,Noise,Sheepshead Bay-Manhattan Beach-Gerritsen Beach
67346849,,,NYPD,New York City Police Department,Blocked Driveway,No Access,11420,Closed,10 QUEENS,QUEENS,40.67408548428756,-73.81011462141402,,,,Parking & Traffic,South Ozone Park
